Nom,saison,episode,etape
Blue Lock,1,12,en cour
Blood Blockade Battlefront,1,1,debut
Konosuba: God's Blessing on This Wonderful World!,1,3,debut?
By the Grace of the Gods,2,10,fin
DanMachi - La Légende des Familias,2,1,debut
The Misfit of Demon King Academy,2,5,fin
The Reincarnation of the Strongest Exorcist in Another World,1,11,fin
Classroom of the Elite,1,9,debut
ONE PIECE,0,,debut
The Strongest Sage with the Weakest Crest,1,12,fin
The Greatest Demon Lord Is Reborn as a Typical Nobody,1,2,en cour
